cycle,president,day,fte_net
1948,truman,55,84
1948,truman,186,73.3
1948,truman,213,63.8
1948,truman,241,63.4
1948,truman,275,43.2
1948,truman,309,42.1
1948,truman,330,15
1948,truman,357,18.5
1948,truman,392,17
1948,truman,426,5.5
1948,truman,433,3.5
1948,truman,454,1.8
1948,truman,467,0
1948,truman,529,-16.3
1948,truman,557,-18.7
1948,truman,591,-19
1948,truman,619,-13.4
1948,truman,653,5.1
1948,truman,680,4.9
1948,truman,708,34.9
1948,truman,722,39.7
1948,truman,742,39.6
1948,truman,749,33.9
1948,truman,756,34
1948,truman,777,39.4
1948,truman,784,39.3
1948,truman,804,27.4
1948,truman,811,27.6
1948,truman,818,31.1
1948,truman,839,31
1948,truman,852,30.9
1948,truman,894,26.2
1948,truman,969,21.1
1948,truman,1003,16.7
1948,truman,1100,-13.7
1948,truman,1148,-8.4
1948,truman,1175,-7.4
1952,truman,1375,52
1952,truman,1430,34.8
1952,truman,1471,34.9
1952,truman,1498,20.8
1952,truman,1526,30.3
1952,truman,1567,30.2
1952,truman,1622,9.3
1952,truman,1636,17.5
1952,truman,1650,17.3
1952,truman,1663,17.2
1952,truman,1746,5.1
1952,truman,1787,-6.1
1952,truman,1828,-6
1952,truman,1856,2.7
1952,truman,1897,-7.8
1952,truman,1925,3.7
1952,truman,1952,-3.3
1952,truman,1966,6.7
1952,truman,1993,-7.3
1952,truman,2007,-12.1
1952,truman,2021,-2.4
1952,truman,2034,-4
1952,truman,2048,-4.1
1952,truman,2062,-4
1952,truman,2076,-17
1952,truman,2103,-13.9
1952,truman,2131,-30.5
1952,truman,2158,-31.6
1952,truman,2186,-29.7
1952,truman,2213,-29.9
1952,truman,2241,-37.1
1952,truman,2268,-34.7
1952,truman,2296,-29.3
1952,truman,2309,-26.6
1952,truman,2323,-26.7
1952,truman,2364,-22.4
1952,truman,2392,-25.1
1952,truman,2419,-34.9
1952,truman,2447,-34.8
1952,truman,2474,-43.3
1952,truman,2488,-39
1952,truman,2502,-41.7
1952,truman,2529,-41.6
1952,truman,2571,-31.6
1952,truman,2598,-32.7
1952,truman,2612,-29.4
1952,truman,2626,-27.3
1952,truman,2667,-29.3
1952,truman,2694,-29.2
1952,truman,2749,-22.6
1952,truman,2804,-22.6
1956,eisenhower,27,61
1956,eisenhower,41,59.5
1956,eisenhower,82,63.8
1956,eisenhower,96,62.5
1956,eisenhower,124,62.8
1956,eisenhower,179,55
1956,eisenhower,192,59.4
1956,eisenhower,206,59.3
1956,eisenhower,220,59.2
1956,eisenhower,234,59.1
1956,eisenhower,247,46.5
1956,eisenhower,275,46
1956,eisenhower,289,38.1
1956,eisenhower,302,38.2
1956,eisenhower,316,35.4
1956,eisenhower,330,42.8
1956,eisenhower,344,42.6
1956,eisenhower,371,50.4
1956,eisenhower,385,51.5
1956,eisenhower,399,51.4
1956,eisenhower,412,47.4
1956,eisenhower,440,45
1956,eisenhower,454,46.4
1956,eisenhower,481,41.2
1956,eisenhower,495,39.8
1956,eisenhower,522,38.6
1956,eisenhower,536,42.3
1956,eisenhower,550,49.3
1956,eisenhower,564,49
1956,eisenhower,577,48.3
1956,eisenhower,591,42.8
1956,eisenhower,605,42.9
1956,eisenhower,619,44.3
1956,eisenhower,646,38.8
1956,eisenhower,674,35.2
1956,eisenhower,687,42.9
1956,eisenhower,701,42.7
1956,eisenhower,715,49.8
1956,eisenhower,729,49.7
1956,eisenhower,742,51.3
1956,eisenhower,756,55.9
1956,eisenhower,770,55.8
1956,eisenhower,784,54.5
1956,eisenhower,797,54.6
1956,eisenhower,811,46.8
1956,eisenhower,825,53.2
1956,eisenhower,839,53
1956,eisenhower,852,52.2
1956,eisenhower,880,53.5
1956,eisenhower,894,52.4
1956,eisenhower,907,52.5
1956,eisenhower,934,61.3
1956,eisenhower,949,61.1
1956,eisenhower,962,57
1956,eisenhower,976,55.7
1956,eisenhower,1045,64.5
1956,eisenhower,1058,62.6
1956,eisenhower,1086,63.7
1956,eisenhower,1113,62.5
1956,eisenhower,1127,60.8
1956,eisenhower,1155,56.8
1956,eisenhower,1168,56.9
1956,eisenhower,1182,56.3
1956,eisenhower,1196,52
1956,eisenhower,1210,52.1
1956,eisenhower,1237,52
1956,eisenhower,1251,53.9
1956,eisenhower,1265,53.8
1956,eisenhower,1278,51.1
1956,eisenhower,1306,49.7
1960,eisenhower,1416,60
1960,eisenhower,1430,64.6
1960,eisenhower,1471,60.8
1960,eisenhower,1485,57.3
1960,eisenhower,1498,57.4
1960,eisenhower,1512,55.8
1960,eisenhower,1526,49.1
1960,eisenhower,1540,49.3
1960,eisenhower,1553,47.2
1960,eisenhower,1567,43.1
1960,eisenhower,1581,43.2
1960,eisenhower,1595,40.4
1960,eisenhower,1608,41.5
1960,eisenhower,1636,40.5
1960,eisenhower,1650,42.2
1960,eisenhower,1677,42.7
1960,eisenhower,1691,38.8
1960,eisenhower,1718,35
1960,eisenhower,1732,31.6
1960,eisenhower,1746,31.7
1960,eisenhower,1760,31.2
1960,eisenhower,1815,30.1
1960,eisenhower,1842,30.8
1960,eisenhower,1856,25.3
1960,eisenhower,1870,25.4
1960,eisenhower,1883,20.4
