state,abbr
District of Columbia,DC
Vermont,VT
Massachusetts,MA
Maryland,MD
Hawaii,HI
California,CA
New York,NY
Maine CD-1,ME-1
Rhode Island,RI
Connecticut,CT
Washington,WA
Delaware,DE
Illinois,IL
New Jersey,NJ
Oregon,OR
Colorado,CO
New Mexico,NM
Virginia,VA
Maine,ME
Minnesota,MN
New Hampshire,NH
Nebraska CD-2,NE-2
Nevada,NV
Michigan,MI
Pennsylvania,PA
Wisconsin,WI
Arizona,AZ
Georgia,GA
North Carolina,NC
Florida,FL
Texas,TX
Ohio,OH
Maine CD-2,ME-2
Iowa,IA
Alaska,AK
South Carolina,SC
Kansas,KS
Missouri,MO
Nebraska CD-1,NE-1
Indiana,IN
Mississippi,MS
Montana,MT
Louisiana,LA
Utah,UT
Nebraska,NE
Tennessee,TN
Alabama,AL
Kentucky,KT
South Dakota,SD
Arkansas,AR
Idaho,ID
Oklahoma,OK
North Dakota,ND
West Virginia,WV
Wyoming,WY
Nebraska CD-3,NE-3
