year,state,democratic,republican,other,third_party_flag,notes
1948,Alabama,80.96,19.04,0,0,States' Rights Democratic Party considered to be Democratic Party in states that they won for the purposes of a consistent coalition
1948,Arizona,53.79,43.82,2.39,0,
1948,Arkansas,61.72,21.02,17.26,1,
1948,California,47.57,47.13,5.3,0,No individual third party candidate comprised 5% of the vote
1948,Colorado,51.88,46.52,1.6,0,
1948,Connecticut,47.91,49.55,2.54,0,
1948,Delaware,48.76,50.04,1.2,0,
1948,Florida,48.82,33.63,17.55,1,
1948,Georgia,60.81,18.31,20.88,1,
1948,Idaho,49.98,47.26,2.76,0,
1948,Illinois,50.07,49.22,0.71,0,
1948,Indiana,48.78,49.58,1.64,0,
1948,Iowa,50.31,47.58,2.11,0,
1948,Kansas,44.61,53.63,1.76,0,
1948,Kentucky,56.74,41.48,1.78,0,
1948,Louisiana,49.8,17.45,32.75,1,States' Rights Democratic Party considered to be Democratic Party in states that they won for the purposes of a consistent coalition
1948,Maine,42.27,56.74,0.99,0,
1948,Maryland,48.01,49.4,2.59,0,
1948,Massachusetts,54.66,43.16,2.18,0,
1948,Michigan,47.57,49.23,3.2,0,
1948,Minnesota,57.16,39.89,2.95,0,
1948,Mississippi,87.29,2.62,10.09,1,States' Rights Democratic Party considered to be Democratic Party in states that they won for the purposes of a consistent coalition
1948,Missouri,58.11,41.49,0.4,0,
1948,Montana,53.09,43.15,3.76,0,
1948,Nebraska,45.85,54.15,0,0,
1948,Nevada,50.37,47.26,2.37,0,
1948,New Hampshire,46.66,52.41,0.93,0,
1948,New Jersey,45.93,50.33,3.74,0,
1948,New Mexico,56.38,42.93,0.69,0,
1948,New York,45.01,45.99,9,1,
1948,North Carolina,58.02,32.68,9.3,1,
1948,North Dakota,43.41,52.17,4.42,0,
1948,Ohio,49.48,49.24,1.28,0,
1948,Oklahoma,62.75,37.25,0,0,
1948,Oregon,46.4,49.78,3.82,0,
1948,Pennsylvania,46.92,50.93,2.15,0,
1948,Rhode Island,57.59,41.44,0.97,0,
1948,South Carolina,72.08,3.78,24.14,1,States' Rights Democratic Party considered to be Democratic Party in states that they won for the purposes of a consistent coalition
1948,South Dakota,47.04,51.84,1.12,0,
1948,Tennessee,49.14,36.87,13.99,1,
1948,Texas,65.96,24.29,9.75,1,
1948,Utah,53.98,45.02,1,0,
1948,Vermont,36.92,61.54,1.54,0,
1948,Virginia,47.89,41.04,11.07,1,
1948,Washington,52.56,42.73,4.71,0,
1948,West Virginia,57.32,42.24,0.44,0,
1948,Wisconsin,50.7,46.28,3.02,0,
1948,Wyoming,51.62,47.27,1.11,0,
1952,Alabama,64.55,35.02,0.43,0,
1952,Arizona,41.65,58.35,0,0,
1952,Arkansas,55.9,43.76,0.34,0,
1952,California,42.27,56.83,0.9,0,
1952,Colorado,38.96,60.27,0.77,0,
1952,Connecticut,43.91,55.7,0.39,0,
1952,Delaware,47.88,51.75,0.37,0,
1952,Florida,44.97,54.99,0.04,0,
1952,Georgia,69.66,30.34,0,0,
1952,Idaho,34.42,65.42,0.16,0,
1952,Illinois,44.94,54.84,0.22,0,
1952,Indiana,40.99,58.11,0.9,0,
1952,Iowa,35.59,63.75,0.66,0,
1952,Kansas,30.5,68.77,0.73,0,
1952,Kentucky,49.91,49.84,0.25,0,
1952,Louisiana,52.92,47.08,0,0,
1952,Maine,33.77,66.05,0.18,0,
1952,Maryland,43.83,55.36,0.81,0,
1952,Massachusetts,45.46,54.22,0.32,0,
1952,Michigan,43.97,55.44,0.59,0,
1952,Minnesota,44.11,55.33,0.56,0,
1952,Mississippi,60.44,39.56,0,0,
1952,Missouri,49.14,50.71,0.15,0,
1952,Montana,40.07,59.39,0.54,0,
1952,Nebraska,30.85,69.15,0,0,
1952,Nevada,38.55,61.45,0,0,
1952,New Hampshire,39.08,60.92,0,0,
1952,New Jersey,41.99,56.81,1.2,0,
1952,New Mexico,44.28,55.39,0.33,0,
