state,population_mm,pw_density,white,hispanic,black,asian,native,aapi,other,citizen_by_birth,ed_high_school,ed_undergrad,ed_grad,gen_silent,gen_boomer,gen_x,gen_millennial,gen_z,gen_alpha,poverty,inc_less_50,inc_50_100,inc_geq_100
Alabama,5,462,63.12,5.26,25.64,1.51,0.46,0.05,3.96,96.53,88.02,25.35,9.66,6.65,23.71,18.79,19.15,19.74,11.95,15.79,46.06,29.35,24.59
Alaska,0.7315,805,57.5,6.8,2.83,5.93,14.84,1.7,10.4,92.13,93.6,29.03,10.88,3.9,21.02,17.93,22.96,20.05,14.15,10.44,29.04,31.38,39.58
Arizona,7.2,1570,53.37,30.65,4.43,3.48,3.69,0.2,4.17,86.97,88.75,30.01,11.48,7.24,22.47,17.94,20.04,20.26,12.05,13.5,37.71,31.66,30.63
Arkansas,3,493,68.52,8.53,14.94,1.7,0.68,0.47,5.15,95.07,88.4,22.92,8.29,6.82,22.84,18.22,19.35,20.12,12.65,16.01,48.23,29.92,21.85
California,39.5,3071,34.68,39.41,5.36,15.12,0.39,0.35,4.68,73.5,84.56,34.44,13.1,5.85,20.69,19.29,22.09,19.96,12.13,12.25,30.46,27,42.53
Colorado,5.8,1578,65.13,21.88,3.83,3.38,0.58,0.16,5.03,90.47,92.65,41.22,15.53,5.26,21.47,19.15,22.91,19.47,11.74,9.56,30.07,30.23,39.69
Connecticut,3.6,1377,63.21,17.29,10.01,4.73,0.18,0.03,4.57,85.16,91.32,39.34,17.68,7.29,24.38,19.52,18.57,19.74,10.5,10.03,30.7,27.04,42.26
Delaware,0.9898,1098,58.57,10.54,21.51,4.28,0.25,0.03,4.81,90.36,91.34,32.55,13.74,7.37,25.8,18.08,19.08,18.39,11.28,11.44,34.08,31.36,34.57
District of Columbia,0.6895,6570,37.96,11.26,40.9,4.81,0.19,0.05,4.82,86.5,92.41,59.92,35.05,5.01,17.18,17.5,31.7,17.19,11.42,15.44,29.29,23.53,47.17
Florida,21.5,1489,51.54,26.45,14.52,2.92,0.2,0.05,4.32,79.01,89.48,30.26,11.26,8.92,25.02,18.89,19.09,17.45,10.62,13.12,40.72,30.99,28.29
Georgia,10.7,783,50.06,10.49,30.6,4.44,0.19,0.06,4.16,89.71,88.76,31.55,12.28,5.22,21.07,19.78,20.51,20.89,12.52,13.92,38.97,30.27,30.76
