variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,run_date
thetaD,-0.1541383765617901,-0.155134,0.09512780652459912,0.09270757104,-0.31014915,0.00393838049999983,1.0010996058968102,10415.411395293922,7228.094659078405,2024-05-01
thetaD,-0.15347655082314,-0.1548765,0.08950205368881921,0.08713892544,-0.3015982,-0.00400500600000011,1.0000125079553,10206.221389918548,7875.700756584156,2024-05-02
thetaD,-0.1560922837614,-0.157873,0.08729835745779199,0.0812012607,-0.29982385,-0.01078317000000033,1.0005661464674125,10693.28168781688,8536.372853312298,2024-05-03
thetaD,-0.15665763360087,-0.1597785,0.08157707817650554,0.07241759699999999,-0.28841144999999996,-0.01820400000000003,1.0000510010940602,11738.527457055385,8770.881598402759,2024-05-04
thetaD,-0.1581404762722,-0.161407,0.07305274917647157,0.06159091050000001,-0.27386160000000004,-0.02997422000000001,1.0001806010956384,13697.367512760997,8423.903257573027,2024-05-05
thetaD,-0.1610443548516,-0.1636505,0.06946163017721797,0.0603744372,-0.27421625,-0.042531395,1.000370924900946,12651.642493942683,7916.704621831594,2024-05-06
thetaD,-0.1638563876594,-0.166257,0.067320678262252,0.05790739080000001,-0.2734871,-0.04846907000000017,1.0004394182400578,11938.88210187567,7240.903525674953,2024-05-07
thetaD,-0.1677311627722,-0.1697435,0.06757612154688847,0.05978139719999999,-0.2779019,-0.05427331000000004,1.0013760997933094,13682.833508234817,7567.272434307011,2024-05-08
thetaD,-0.1684610492564948,-0.1708785,0.06297059879005279,0.05568423210000001,-0.2681963,-0.06167088000000004,1.001569109401803,8720.32170440442,4031.5317720329513,2024-05-09
thetaD,-0.1700018374624,-0.171038,0.06025579820883921,0.05407783499999999,-0.26706135,-0.06870420500000005,1.001963040206767,15110.425767809009,7136.338616592557,2024-05-10
thetaD,-0.16990451663888,-0.171321,0.05659907350601397,0.04995027659999999,-0.25964455,-0.07448979500000001,1.001590788533811,18589.46339628336,7616.756270469123,2024-05-11
thetaD,-0.17117782676885,-0.17198249999999998,0.05382962924743671,0.04709775419999996,-0.25883059999999997,-0.08085989,1.0014626992589528,17717.755683484676,6725.451186133481,2024-05-12
thetaD,-0.170030986249,-0.1706625,0.05154009727747206,0.0464995251,-0.25179670000000004,-0.08436805000000001,1.0020782496335323,15370.499246665702,7946.98193562433,2024-05-13
thetaD,-0.1702123643127,-0.171625,0.04996463842724502,0.04376709329999998,-0.2514708,-0.08588184500000003,1.0003767866172668,15500.953916303612,6972.104730103311,2024-05-14
thetaD,-0.167696219527,-0.169248,0.04901642245403654,0.04324447679999999,-0.245436,-0.08517448000000001,1.0001162113393631,17367.537167525712,6485.513361213817,2024-05-15
thetaD,-0.1664525549718,-0.1676105,0.04754310371586676,0.04148907839999999,-0.24225525,-0.08666916000000002,1.002027313318678,16509.119659343112,6302.94381807934,2024-05-16
thetaD,-0.1669254806445,-0.1682295,0.04561014650860254,0.04000054799999998,-0.23976795,-0.08935878500000001,1.0004965872244749,15003.886440322663,6193.41513363745,2024-05-17
thetaD,-0.1682192219308,-0.16912549999999998,0.04500290523969225,0.0386387799,-0.2407856,-0.09350469500000004,1.0011310741905293,13610.994047642314,5480.11094034617,2024-05-18
thetaD,-0.1689406489098,-0.1697885,0.04154586574268386,0.03584482019999998,-0.2357218,-0.09873963500000002,1.0001753017395356,14326.11291650007,5984.98506427917,2024-05-19
thetaD,-0.1667892502599,-0.167172,0.04195831074173332,0.0373281615,-0.23531714999999995,-0.09585598500000014,1.0008864798833277,12888.917046957817,6678.910802537906,2024-05-20
thetaD,-0.165763243215,-0.1666335,0.04139856956697826,0.03673438019999998,-0.2322146,-0.09756663000000002,1.0010308087918771,11844.780139564496,3517.5364141815053,2024-05-21
thetaD,-0.166114588695,-0.16699750000000002,0.03961860745932232,0.0347684526,-0.22984925,-0.09930250000000006,1.0003969751495565,13911.33327105955,7594.655477847043,2024-05-22
thetaD,-0.168940902202,-0.169002,0.03883560315060293,0.03338963459999997,-0.233013,-0.10534035000000004,1.0023173558560288,13788.861926321772,7435.927103762004,2024-05-23
thetaD,-0.17102938865,-0.17133500000000002,0.03745665706316833,0.03271653419999996,-0.231839,-0.10891545000000016,1.0008596516789463,10655.013774519442,6126.398404350219,2024-05-24
thetaD,-0.172572440856,-0.172699,0.03954626706516565,0.03477438299999998,-0.2380835,-0.10786565000000002,1.0009227347649532,16726.668263125954,7306.819284241158,2024-05-25
thetaD,-0.1737624720983,-0.17354999999999998,0.03960753973517913,0.03542376180000001,-0.239112,-0.10877815000000005,1.0012914929439598,12875.858972711036,7420.278496277843,2024-05-26
thetaD,-0.174356611592,-0.17476550000000002,0.03871316886698921,0.03410202389999996,-0.23770115,-0.10957945000000008,1.0016910394525225,16775.283202039474,6745.815759902289,2024-05-27
thetaD,-0.175013281003,-0.1755805,0.03824159499912127,0.03453716699999999,-0.2364111,-0.11194630000000004,1.0006874210184171,16933.315872789484,7230.469722001705,2024-05-28
thetaD,-0.17756801415,-0.1777605,0.03804975276806584,0.03510574409999998,-0.23877575,-0.1142794,0.9998571965766636,13231.71275804159,6661.299149809538,2024-05-29
