model_name,model_version,start_ts,end_ts,observations,num_divergent,num_max_treedepth,run_date
approval-prior,2024-05-28T14:32:24Z,2024-05-28T18:51:18Z,2024-05-28T18:55:00Z,1617,0,0,2024-05-28
pvi,2024-05-28T14:52:03Z,2024-05-28T18:55:19Z,2024-05-28T18:55:21Z,601,0,0,2024-05-28
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:22Z,2024-05-28T18:55:24Z,1,137,0,2024-05-01
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:24Z,2024-05-28T18:55:26Z,2,109,0,2024-05-02
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:26Z,2024-05-28T18:55:28Z,3,70,0,2024-05-03
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:28Z,2024-05-28T18:55:30Z,4,45,0,2024-05-04
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:30Z,2024-05-28T18:55:32Z,5,24,0,2024-05-05
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:32Z,2024-05-28T18:55:33Z,6,28,0,2024-05-06
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:33Z,2024-05-28T18:55:36Z,7,24,0,2024-05-07
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:36Z,2024-05-28T18:55:38Z,8,28,0,2024-05-08
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:38Z,2024-05-28T18:55:40Z,9,13,0,2024-05-09
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:40Z,2024-05-28T18:55:42Z,10,8,0,2024-05-10
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:42Z,2024-05-28T18:55:44Z,11,26,0,2024-05-11
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:44Z,2024-05-28T18:55:46Z,12,16,0,2024-05-12
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:46Z,2024-05-28T18:55:48Z,13,10,0,2024-05-13
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:48Z,2024-05-28T18:55:50Z,14,5,0,2024-05-14
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:50Z,2024-05-28T18:55:53Z,15,41,0,2024-05-15
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:53Z,2024-05-28T18:55:55Z,16,8,0,2024-05-16
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:55Z,2024-05-28T18:55:57Z,17,3,0,2024-05-17
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:57Z,2024-05-28T18:55:59Z,18,10,0,2024-05-18
approval,2024-05-28T14:56:22Z,2024-05-28T18:55:59Z,2024-05-28T18:56:02Z,19,5,0,2024-05-19
approval,2024-05-28T14:56:22Z,2024-05-28T18:56:02Z,2024-05-28T18:56:04Z,20,11,0,2024-05-20
approval,2024-05-28T14:56:22Z,2024-05-28T18:56:04Z,2024-05-28T18:56:07Z,21,5,0,2024-05-21
approval,2024-05-28T14:56:22Z,2024-05-28T18:56:07Z,2024-05-28T18:56:09Z,22,15,0,2024-05-22
approval,2024-05-28T14:56:22Z,2024-05-28T18:56:09Z,2024-05-28T18:56:11Z,23,19,0,2024-05-23
