mode,estimate,.lower,.upper,.width,.point,.interval
Email,-4.6798e-4,-0.0064423621,0.0029285768,0.66,median,qi
IVR,-2.1584300000000001e-4,-0.0054196101000000005,0.003655098,0.66,median,qi
IVR/Live Phone/Online Panel/Text-to-Web,1.3131199999999999e-6,-0.004741614199999999,0.0048089703,0.66,median,qi
IVR/Live Phone/Text,1.42391e-5,-0.0046636422,0.004769574100000001,0.66,median,qi
IVR/Live Phone/Text-to-Web,5.9533899999999996e-5,-0.004248697,0.0049280479,0.66,median,qi
IVR/Online Panel,2.1835099999999998e-4,-0.0035461961,0.0056640071,0.66,median,qi
IVR/Online Panel/Text-to-Web,-9.55116e-4,-0.0070613589,0.0021138589,0.66,median,qi
IVR/Text,1.59342e-4,-0.0038298825000000003,0.0052428384,0.66,median,qi
IVR/Text-to-Web,-3.48716e-4,-0.0057524708,0.0032991929,0.66,median,qi
Live Phone,-6.933740000000001e-4,-0.00577975,0.0023830229000000006,0.66,median,qi
Live Phone/Email,1.6732200000000002e-4,-0.0038795465000000004,0.0054358098,0.66,median,qi
Live Phone/Online Panel,7.135255e-4,-0.0024642774,0.00710301,0.66,median,qi
Live Phone/Online Panel/App Panel,-1.56077e-4,-0.0054846272000000015,0.0037569467,0.66,median,qi
Live Phone/Online Panel/Text,-1.42136e-4,-0.0052514333,0.0037810711,0.66,median,qi
Live Phone/Online Panel/Text-to-Web,-2.1990049999999999e-4,-0.005341638,0.0036170869,0.66,median,qi
Live Phone/Probability Panel,-1.14523e-4,-0.0051458349,0.0041533305,0.66,median,qi
Live Phone/Text-to-Web,5.163895000000001e-4,-0.0027381504999999997,0.0056932622,0.66,median,qi
Live Phone/Text-to-Web/Email,9.550840000000001e-5,-0.004285952,0.005253890100000001,0.66,median,qi
Live Phone/Text-to-Web/Email/Mail-to-Web,1.096855e-4,-0.0040471958,0.005257238700000001,0.66,median,qi
Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,1.494685e-4,-0.0039148231,0.005371434800000001,0.66,median,qi
Live Phone/Text-to-Web/Online Ad,-5.4476e-4,-0.007084579300000001,0.0026948612000000003,0.66,median,qi
Live Phone/Text/Online Panel,1.0768750000000001e-5,-0.004521871100000001,0.0049106273,0.66,median,qi
Mail-to-Web/Mail-to-Phone,2.477445e-4,-0.0036184476,0.0059411870000000006,0.66,median,qi
Online Ad,-3.482785e-4,-0.0056172311999999995,0.0033111406000000004,0.66,median,qi
Online Panel,0.003279105,-1.1439695000000011e-4,0.0099052535,0.66,median,qi
Online Panel/Online Ad,2.09151e-4,-0.0038041677000000005,0.0055391485,0.66,median,qi
Online Panel/Probability Panel,0.00109286,-0.0021034371000000006,0.008702926500000001,0.66,median,qi
Online Panel/Text-to-Web,2.6675799999999997e-4,-0.0031372672,0.0049102063,0.66,median,qi
Probability Panel,0.001576255,-0.0012676968000000003,0.008929154800000002,0.66,median,qi
Text,-5.810545000000001e-4,-0.0067835503,0.0027892602,0.66,median,qi
Text-to-Web,-5.89941e-4,-0.0066722523,0.0027252047,0.66,median,qi
Text-to-Web/Email,1.01753e-4,-0.0042432717000000005,0.0050963360999999995,0.66,median,qi
Text-to-Web/Online Ad,1.52132e-4,-0.0037802983999999998,0.0054636899,0.66,median,qi
Unknown,0.00116956,-0.0013928670000000005,0.006596667400000001,0.66,median,qi
Email,-4.6798e-4,-0.018647399999999995,0.01149558,0.95,median,qi
IVR,-2.1584300000000001e-4,-0.0166803375,0.012544589999999991,0.95,median,qi
IVR/Live Phone/Online Panel/Text-to-Web,1.3131199999999999e-6,-0.015812114999999977,0.015457882499999994,0.95,median,qi
IVR/Live Phone/Text,1.42391e-5,-0.015213184999999997,0.015526924999999995,0.95,median,qi
IVR/Live Phone/Text-to-Web,5.9533899999999996e-5,-0.014451404999999997,0.016280319999999994,0.95,median,qi
IVR/Online Panel,2.1835099999999998e-4,-0.011715564999999995,0.016810342499999995,0.95,median,qi
IVR/Online Panel/Text-to-Web,-9.55116e-4,-0.017182402500000003,0.008741784999999998,0.95,median,qi
IVR/Text,1.59342e-4,-0.012425339999999993,0.015257249999999993,0.95,median,qi
IVR/Text-to-Web,-3.48716e-4,-0.017105129999999993,0.011340654999999993,0.95,median,qi
Live Phone,-6.933740000000001e-4,-0.013487579999999999,0.009084121999999998,0.95,median,qi
Live Phone/Email,1.6732200000000002e-4,-0.013414877499999993,0.0174830025,0.95,median,qi
Live Phone/Online Panel,7.135255e-4,-0.009986719249999996,0.020010847499999998,0.95,median,qi
Live Phone/Online Panel/App Panel,-1.56077e-4,-0.017341437499999997,0.01363726749999999,0.95,median,qi
Live Phone/Online Panel/Text,-1.42136e-4,-0.016038704999999997,0.013153092499999996,0.95,median,qi
Live Phone/Online Panel/Text-to-Web,-2.1990049999999999e-4,-0.015600854999999995,0.011966674999999998,0.95,median,qi
