pollster,estimate,.lower,.upper,.width,.point,.interval
1892 Polling,-0.007309185,-0.031337729,0.01645363,0.66,median,qi
1983 Labs,-0.017754,-0.040524289,0.0042124408,0.66,median,qi
3W Insights,-0.015466549999999999,-0.035238796,0.0042980999,0.66,median,qi
ABC News/The Washington Post,-0.00723332,-0.02958061,0.015176288,0.66,median,qi
Alaska Survey Research,0.00323245,-0.021279878000000002,0.028000419,0.66,median,qi
American Pulse Research & Polling,7.75059e-4,-0.021897931,0.023298085,0.66,median,qi
Angus Reid Global,0.01002905,-0.009115582600000002,0.029425811,0.66,median,qi
ARW Strategies,-0.00230554,-0.026242295,0.021818036000000002,0.66,median,qi
AtlasIntel,-0.03716545,-0.052873184,-0.021530029,0.66,median,qi
Beacon Research/Shaw & Co. Research,9.583745000000001e-4,-0.011618402,0.013844574,0.66,median,qi
Bendixen & Amandi International,0.01266535,-0.0099300806,0.035538121,0.66,median,qi
Benenson Strategy Group/GS Strategy Group,0.006440975,-0.010291612,0.023108812000000003,0.66,median,qi
Big Data Poll,-0.02540385,-0.044186746,-0.006667509599999999,0.66,median,qi
Big Village,0.02122135,0.007626431,0.035177533999999996,0.66,median,qi
BK Strategies,0.0012947000000000002,-0.023059035000000002,0.026148450000000004,0.66,median,qi
Bowling Green State University/YouGov,0.00415404,-0.019161657,0.028150612999999998,0.66,median,qi
Capitol Weekly,-0.009354075,-0.028466433,0.009776272200000002,0.66,median,qi
Change Research,-0.00588179,-0.020492239000000002,0.0093121844,0.66,median,qi
Cherry Communications,-0.00535522,-0.028862667,0.017841303000000003,0.66,median,qi
Christopher Newport University Wason Center for Civic Leadership,0.010372,-0.013671162,0.034930659,0.66,median,qi
Civiqs,0.013445950000000002,-0.006366830600000001,0.033317161000000005,0.66,median,qi
Clarity Campaign Labs,0.01199925,-0.006906333800000001,0.031209057,0.66,median,qi
CNN,-0.003261895,-0.01899067,0.012060769000000002,0.66,median,qi
co/efficient,-0.02888215,-0.049629723,-0.0090072844,0.66,median,qi
CWS Research,-0.004264745,-0.029645296,0.01985147,0.66,median,qi
Cygnal,-0.01259925,-0.028036394,0.0023501331000000017,0.66,median,qi
Data for Progress,0.0047237649999999996,-0.010130872,0.019825221,0.66,median,qi
Data Orbital,0.001527115,-0.023257901,0.026502617000000003,0.66,median,qi
DHM Research,-0.01321085,-0.03826304,0.010520864000000001,0.66,median,qi
East Carolina University Center for Survey Research,-0.004035459999999999,-0.024982104999999998,0.017132108,0.66,median,qi
Echelon Insights,0.0129184,-0.0029177351000000008,0.029194521,0.66,median,qi
Echelon Insights/GBAO,0.00171724,-0.020576686,0.023417860999999998,0.66,median,qi
Elon University,0.00226687,-0.021994301999999997,0.026505650999999998,0.66,median,qi
Elway Research,0.00244056,-0.022396087000000002,0.027140937000000004,0.66,median,qi
Emerson College,-0.008413239999999999,-0.01777594,0.0013697912000000005,0.66,median,qi
EPIC-MRA,-0.0143346,-0.037618502000000005,0.0081108243,0.66,median,qi
Fabrizio Lee & Associates/Impact Research,-0.00153724,-0.019045874,0.016335123,0.66,median,qi
Fabrizio Ward/David Binder Research,0.00252899,-0.022533541,0.027199159,0.66,median,qi
"Fabrizio, Lee & Associates",-0.00398957,-0.025929228999999998,0.017960425999999998,0.66,median,qi
"Fabrizio, Lee & Associates/GBAO",-0.02600825,-0.047028362000000004,-0.006042897899999998,0.66,median,qi
Fairleigh Dickinson University,0.009680165000000001,-0.014286881999999999,0.034696057,0.66,median,qi
Florida Atlantic University PolCom Lab/Mainstreet Research,0.00724703,-0.0079530169,0.022471474,0.66,median,qi
Focaldata,0.010754050000000001,-0.0046621747000000005,0.024977488,0.66,median,qi
Franklin & Marshall College Center for Opinion Research,0.0154382,-0.007164419800000001,0.038892768,0.66,median,qi
Glengariff Group,-0.002711415,-0.024966475000000002,0.019860640000000002,0.66,median,qi
Global Strategy Group,0.0207499,-0.0031631663000000016,0.045216654999999994,0.66,median,qi
Global Strategy Group/GBAO (Navigator Research),3.900275e-4,-0.019347683,0.020274651,0.66,median,qi
Gonzales Research & Marketing Strategies Inc.,-0.0164116,-0.041483424000000005,0.0082936882,0.66,median,qi
GQR,0.0062593200000000005,-0.016848121,0.030078743999999998,0.66,median,qi
Harris Insights & Analytics,-0.052775749999999996,-0.064592055,-0.041199953,0.66,median,qi
Hart Research Associates/Public Opinion Strategies,-0.00441856,-0.024829982,0.015582838000000002,0.66,median,qi
Hendrix College,0.003001125,-0.022400374,0.028556473,0.66,median,qi
High Point University Survey Research Center,0.006749045,-0.016141331000000002,0.030230261,0.66,median,qi
HighGround Inc.,0.0121449,-0.012074888000000002,0.036389061,0.66,median,qi
Hoffman Research Group,-0.005674584999999999,-0.031253455,0.019028223,0.66,median,qi
Innovative Research Group,-0.0029304300000000004,-0.025163955,0.019553534000000004,0.66,median,qi
InsiderAdvantage,-0.0090702,-0.022727512000000002,0.004323324200000003,0.66,median,qi
Ipsos,0.02713685,0.01519659,0.039107819,0.66,median,qi
Iron Light,0.009234200000000001,-0.014473785000000001,0.032474046,0.66,median,qi
J.L. Partners,-0.0245493,-0.043962987999999995,-0.0050891936999999995,0.66,median,qi
KAConsulting,8.97506e-4,-0.021900102,0.023746252000000002,0.66,median,qi
Kaplan Strategies,0.01765345,-0.0052630310000000005,0.041296916,0.66,median,qi
Keating Research,9.39844e-4,-0.024539077,0.025621883999999998,0.66,median,qi
KFF,-0.002605005,-0.024465368,0.01985355,0.66,median,qi
Lake Research Partners,0.01627015,-0.0059679483,0.040630331000000006,0.66,median,qi
Landmark Communications,0.003146865,-0.021398651,0.027205009000000002,0.66,median,qi
Leger,0.008983095,-0.009570195800000002,0.026908612,0.66,median,qi
Lord Ashcroft Polls,0.0721329,0.056467539000000004,0.08869101200000001,0.66,median,qi
Manhattan Institute,0.00335778,-0.01501737,0.022095209999999997,0.66,median,qi
Marist College,0.00676247,-0.0064801718,0.02008276,0.66,median,qi
Marketing Resource Group (MRG),-0.0027977749999999997,-0.027751892,0.0226699,0.66,median,qi
Marquette University Law School,0.01139915,-0.0078447934,0.031698321,0.66,median,qi
Mason-Dixon Polling & Strategy,0.0067543099999999995,-0.015767930000000003,0.029969208,0.66,median,qi
MassINC Polling Group,0.009851735,-0.011680027,0.031478872000000005,0.66,median,qi
McLaughlin & Associates,-0.023838900000000003,-0.037756002000000004,-0.009848792,0.66,median,qi
"Meredith College Department of History, Political Science, and International Studies",0.00137525,-0.022653784999999996,0.025923166999999997,0.66,median,qi
Mitchell Research & Communications,-0.006655764999999999,-0.028694209000000002,0.014813071,0.66,median,qi
Moore Information Group,2.835455e-4,-0.023967607000000005,0.02432542,0.66,median,qi
