poll_id,state,K,pollster,end_date,group,mode,candidate_sponsored,post_announcement,internal,dem_candidate,Y,did,sid,electors,pid,gid,mid,cid,hid,hyp
86836,National,952,Redfield & Wilton Strategies,2024-05-01,lv,Online Panel,None,FALSE,0,Biden,465,1,55,0,105,1,24,4,2,0
86871,Virginia,736,McLaughlin & Associates,2024-05-01,lv,Live Phone/Text-to-Web,REP,FALSE,-1,Biden,384,1,50,13,80,1,17,2,2,0
86872,Minnesota,570,McLaughlin & Associates,2024-05-01,lv,Live Phone/Text-to-Web,REP,FALSE,-1,Biden,276,1,25,10,80,1,17,2,2,0
86886,National,1439,co/efficient,2024-05-01,lv,Text,None,FALSE,0,Biden,684,1,55,0,157,1,29,4,2,0
86950,National,1131,KFF,2024-05-01,rv,Probability Panel,None,FALSE,0,Biden,572,1,55,0,67,2,28,4,2,0
86895,National,1153,Data for Progress,2024-05-02,lv,Online Panel,None,FALSE,0,Biden,583,2,55,0,29,1,24,4,2,0
86848,National,738,Suffolk University,2024-05-03,rv,Live Phone,None,FALSE,0,Biden,367,3,55,0,121,2,10,4,2,0
86849,National,1037,TIPP Insights,2024-05-03,rv,Online Panel,None,FALSE,0,Biden,531,3,55,0,126,2,24,4,2,0
86893,New York,985,Slingshot Strategies,2024-05-03,rv,Online Panel,None,FALSE,0,Biden,593,3,36,28,115,2,24,4,2,0
86903,Arizona,455,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,222,4,3,11,105,1,24,4,2,0
86904,Florida,498,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,223,4,10,30,105,1,24,4,2,0
86905,Georgia,394,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,185,4,11,16,105,1,24,4,2,0
86906,Michigan,417,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,193,4,24,15,105,1,24,4,2,0
86907,North Carolina,448,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,205,4,37,16,105,1,24,4,2,0
86908,Pennsylvania,428,Redfield & Wilton Strategies,2024-05-04,lv,Online Panel,None,FALSE,0,Biden,209,4,42,19,105,1,24,4,2,0
86883,North Carolina,485,Cygnal,2024-05-05,lv,Live Phone,None,FALSE,0,Biden,229,5,37,16,26,1,10,4,2,0
86896,Georgia,528,North Star Opinion Research,2024-05-05,lv,Live Phone/Text-to-Web,REP,FALSE,0,Biden,234,5,11,16,89,1,17,2,2,0
86879,Wisconsin,1369,Quinnipiac University,2024-05-06,rv,Live Phone,None,FALSE,0,Biden,728,6,53,10,103,2,10,4,2,0
86932,National,366,Ipsos,2024-05-06,rv,Probability Panel,None,FALSE,0,Biden,187,6,55,0,63,2,28,4,2,0
86876,National,1374,YouGov,2024-05-07,rv,Online Panel,None,FALSE,0,Biden,687,7,55,0,154,2,24,4,2,0
86881,Maryland,661,Public Policy Polling,2024-05-07,v,IVR/Text,DEM,FALSE,0,Biden,431,7,22,10,99,3,8,1,2,0
86889,Florida,567,Cherry Communications,2024-05-07,lv,Live Phone,REP,FALSE,0,Biden,256,7,10,30,22,1,10,2,2,0
86882,Maryland,1009,Emerson College,2024-05-08,rv,IVR/Online Panel/Text-to-Web,None,FALSE,0,Biden,624,8,22,10,36,2,7,4,2,0
86884,National,2365,Big Village,2024-05-08,lv,Online Panel,None,FALSE,0,Biden,1201,8,55,0,16,1,24,4,2,0
87128,National,1022,Clarity Campaign Labs,2024-05-08,rv,Online Panel,None,FALSE,0,Biden,495,8,55,0,25,2,24,4,2,0
86897,Arizona,576,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,269,9,3,11,131,1,10,4,2,0
86898,Georgia,550,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,248,9,11,16,131,1,10,4,2,0
86899,Michigan,573,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,290,9,24,15,131,1,10,4,2,0
86900,Nevada,546,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,233,9,32,6,131,1,10,4,2,0
86901,Pennsylvania,951,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,460,9,42,19,131,1,10,4,2,0
86902,Wisconsin,571,The New York Times/Siena College,2024-05-09,lv,Live Phone,None,FALSE,0,Biden,282,9,53,10,131,1,10,4,2,0
86941,National,1720,RMG Research,2024-05-09,lv,Unknown,None,FALSE,0,Biden,880,9,55,0,104,1,33,4,2,0
86998,Tennessee,380,SSRS,2024-05-09,rv,Live Phone,None,FALSE,0,Biden,145,9,46,11,111,2,10,4,2,0
87012,North Carolina,692,High Point University Survey Research Center,2024-05-09,rv,Online Panel,None,FALSE,0,Biden,338,9,37,16,56,2,24,4,2,0
86948,Minnesota,537,SurveyUSA,2024-05-11,lv,Online Panel,None,FALSE,0,Biden,275,11,25,10,124,1,24,4,2,0
86987,Arizona,740,Morning Consult,2024-05-12,rv,Online Panel,None,FALSE,0,Biden,350,12,3,11,84,2,24,4,2,0
86987,Arizona,739,Morning Consult,2024-05-12,rv,Online Panel,None,FALSE,0,Harris,334,12,3,11,84,2,24,4,1,1
