p_tie,run_date
0.00189999999999998,2024-05-01
0.00149999999999997,2024-05-02
0.00140000000000001,2024-05-03
9.000000000000204e-4,2024-05-04
0.00129999999999996,2024-05-05
0.00160000000000007,2024-05-06
0.00160000000000007,2024-05-07
0.00149999999999998,2024-05-08
0.00139999999999999,2024-05-09
0.00189999999999998,2024-05-10
0.00139999999999997,2024-05-11
7.000000000000034e-4,2024-05-12
7.999999999999974e-4,2024-05-13
0.00140000000000001,2024-05-14
0.00129999999999994,2024-05-15
8.999999999999884e-4,2024-05-16
0.00109999999999997,2024-05-17
0.00149999999999998,2024-05-18
0.00189999999999998,2024-05-19
0.00159999999999998,2024-05-20
0.00109999999999994,2024-05-21
8.999999999999955e-4,2024-05-22
6.000000000000162e-4,2024-05-23
7.000000000000044e-4,2024-05-24
4.000000000000101e-4,2024-05-25
6.000000000000226e-4,2024-05-26
5.000000000000225e-4,2024-05-27
8.000000000000137e-4,2024-05-28
0.0012,2024-05-29
0.00109999999999995,2024-05-30
8.000000000000106e-4,2024-05-31
8.000000000000119e-4,2024-06-01
0.00120000000000003,2024-06-02
6.000000000000177e-4,2024-06-03
8.000000000000037e-4,2024-06-04
0.00140000000000001,2024-06-05
0.00100000000000002,2024-06-06
9.000000000000062e-4,2024-06-07
6.999999999999607e-4,2024-06-08
0.00159999999999997,2024-06-09
7.000000000000061e-4,2024-06-10
8.999999999999954e-4,2024-06-11
8.999999999999988e-4,2024-06-12
0.00109999999999992,2024-06-13
5.000000000000322e-4,2024-06-14
9.000000000000187e-4,2024-06-15
7.000000000000202e-4,2024-06-16
7.000000000000032e-4,2024-06-17
5.999999999999958e-4,2024-06-18
6.999999999999911e-4,2024-06-19
5.000000000000194e-4,2024-06-20
5.999999999999943e-4,2024-06-21
8.000000000000412e-4,2024-06-22
5.000000000000139e-4,2024-06-23
4.0000000000002946e-4,2024-06-24
6.999999999999946e-4,2024-06-25
4.0000000000002745e-4,2024-06-26
6.999999999999738e-4,2024-06-27
7.000000000000193e-4,2024-06-28
4.000000000000135e-4,2024-06-29
6.000000000000201e-4,2024-06-30
8.000000000000222e-4,2024-07-01
0.00129999999999998,2024-07-02
6.000000000000152e-4,2024-07-03
7.000000000000286e-4,2024-07-04
0.00100000000000004,2024-07-05
7.000000000000006e-4,2024-07-06
8.000000000000489e-4,2024-07-07
1.0000000000000776e-4,2024-07-08
0.00100000000000003,2024-07-09
7.000000000000161e-4,2024-07-10
7.000000000000039e-4,2024-07-11
0.00109999999999997,2024-07-12
8.999999999999697e-4,2024-07-13
8.000000000000532e-4,2024-07-14
8.000000000000038e-4,2024-07-15
0.0016,2024-07-16
0.00109999999999993,2024-07-17
0.00129999999999997,2024-07-18
0.00100000000000002,2024-07-19
9.00000000000029e-4,2024-07-20
6.000000000000006e-4,2024-07-21
7.000000000000014e-4,2024-07-22
0.00119999999999997,2024-07-23
0.00270000000000002,2024-07-24
0.0033,2024-07-25
0.00379999999999997,2024-07-26
0.00429999999999996,2024-07-27
0.00429999999999997,2024-07-28
0.00489999999999991,2024-07-29
0.00519999999999999,2024-07-30
0.00480000000000001,2024-07-31
0.00489999999999994,2024-08-01
0.00660000000000002,2024-08-02
0.00519999999999997,2024-08-03
0.00529999999999993,2024-08-04
0.00540000000000006,2024-08-05
0.00569999999999996,2024-08-06
0.00450000000000001,2024-08-07
0.00529999999999993,2024-08-08
0.00580000000000008,2024-08-09
0.00500000000000009,2024-08-10
0.00540000000000007,2024-08-11
0.00559999999999991,2024-08-12
0.00489999999999991,2024-08-13
0.00639999999999989,2024-08-14
0.00829999999999993,2024-08-15
0.00699999999999999,2024-08-16
0.00740000000000003,2024-08-17
0.00639999999999996,2024-08-18
0.00580000000000002,2024-08-19
0.00409999999999994,2024-08-20
0.00129999999999997,2024-08-21
0.00189999999999998,2024-08-22
0.00200000000000009,2024-08-23
0.00109999999999998,2024-08-24
0.0010999999999999834,2024-08-25
