state,p_win,run_date
Alabama,0.00960000000000003,2024-05-01
Alaska,0.07660000000000045,2024-05-01
Arizona,0.29610000000000003,2024-05-01
Arkansas,0.00859999999999993,2024-05-01
California,0.969,2024-05-01
Colorado,0.6939999999999998,2024-05-01
Connecticut,0.8667000000000001,2024-05-01
Delaware,0.8328,2024-05-01
District of Columbia,0.9942,2024-05-01
Florida,0.23599999999999985,2024-05-01
Georgia,0.28240000000000043,2024-05-01
Hawaii,0.9729,2024-05-01
Idaho,0.00550000000000023,2024-05-01
Illinois,0.838,2024-05-01
Indiana,0.03449999999999997,2024-05-01
Iowa,0.11620000000000044,2024-05-01
Kansas,0.0388999999999997,2024-05-01
Kentucky,0.00879999999999976,2024-05-01
Louisiana,0.02719999999999965,2024-05-01
Maine CD-1,0.906,2024-05-01
Maine CD-2,0.12429999999999956,2024-05-01
Maryland,0.9789,2024-05-01
Massachusetts,0.9798,2024-05-01
Michigan,0.3694000000000003,2024-05-01
Minnesota,0.5115999999999994,2024-05-01
Mississippi,0.03700000000000005,2024-05-01
Missouri,0.04159999999999974,2024-05-01
Montana,0.03540000000000011,2024-05-01
Nebraska CD-1,0.03820000000000016,2024-05-01
Nebraska CD-2,0.4595000000000001,2024-05-01
Nebraska CD-3,0.00160000000000007,2024-05-01
Nevada,0.38989999999999975,2024-05-01
New Hampshire,0.4982999999999997,2024-05-01
New Jersey,0.7951999999999996,2024-05-01
New Mexico,0.6527000000000002,2024-05-01
New York,0.9233,2024-05-01
North Carolina,0.26369999999999993,2024-05-01
North Dakota,0.00350000000000004,2024-05-01
Ohio,0.12549999999999967,2024-05-01
Oklahoma,0.0043,2024-05-01
Oregon,0.7917,2024-05-01
Pennsylvania,0.33899999999999997,2024-05-01
Rhode Island,0.8822,2024-05-01
South Carolina,0.07180000000000024,2024-05-01
South Dakota,0.0082999999999999,2024-05-01
Tennessee,0.01429999999999992,2024-05-01
Texas,0.15219999999999964,2024-05-01
Utah,0.01979999999999997,2024-05-01
Vermont,0.9835,2024-05-01
Virginia,0.6169,2024-05-01
Washington,0.8669999999999999,2024-05-01
West Virginia,0.00259999999999998,2024-05-01
Wisconsin,0.3389000000000001,2024-05-01
Wyoming,0.00160000000000007,2024-05-01
National,0.4300999999999994,2024-05-01
Nebraska,0.01039999999999995,2024-05-01
Maine,0.5340000000000007,2024-05-01
Alabama,0.01070000000000003,2024-05-02
Alaska,0.07040000000000002,2024-05-02
Arizona,0.2863999999999996,2024-05-02
Arkansas,0.00809999999999996,2024-05-02
California,0.9714000000000004,2024-05-02
Colorado,0.686,2024-05-02
Connecticut,0.8588999999999999,2024-05-02
Delaware,0.8284000000000006,2024-05-02
District of Columbia,0.9944,2024-05-02
Florida,0.23269999999999932,2024-05-02
Georgia,0.2798999999999997,2024-05-02
Hawaii,0.9752,2024-05-02
Idaho,0.0044999999999999,2024-05-02
Illinois,0.8376000000000003,2024-05-02
Indiana,0.03329999999999973,2024-05-02
Iowa,0.109300000000001,2024-05-02
Kansas,0.04159999999999997,2024-05-02
Kentucky,0.00920000000000008,2024-05-02
Louisiana,0.02709999999999986,2024-05-02
Maine CD-1,0.8982000000000003,2024-05-02
Maine CD-2,0.11959999999999991,2024-05-02
Maryland,0.9788000000000002,2024-05-02
Massachusetts,0.9788000000000002,2024-05-02
Michigan,0.372600000000001,2024-05-02
Minnesota,0.5044999999999998,2024-05-02
Mississippi,0.03610000000000016,2024-05-02
Missouri,0.03779999999999964,2024-05-02
Montana,0.03110000000000012,2024-05-02
Nebraska CD-1,0.03609999999999971,2024-05-02
Nebraska CD-2,0.4501999999999995,2024-05-02
Nebraska CD-3,0.00109999999999992,2024-05-02
Nevada,0.38869999999999993,2024-05-02
New Hampshire,0.5046,2024-05-02
New Jersey,0.7957,2024-05-02
New Mexico,0.6549999999999996,2024-05-02
New York,0.9228,2024-05-02
North Carolina,0.25559999999999933,2024-05-02
North Dakota,0.0043999999999999,2024-05-02
Ohio,0.12359999999999922,2024-05-02
Oklahoma,0.00350000000000007,2024-05-02
Oregon,0.7825000000000001,2024-05-02
Pennsylvania,0.3419,2024-05-02
Rhode Island,0.8813000000000002,2024-05-02
South Carolina,0.06730000000000003,2024-05-02
South Dakota,0.00890000000000002,2024-05-02
Tennessee,0.01199999999999999,2024-05-02
Texas,0.14970000000000036,2024-05-02
Utah,0.01800000000000013,2024-05-02
Vermont,0.9869,2024-05-02
Virginia,0.6088,2024-05-02
Washington,0.8581999999999999,2024-05-02
West Virginia,0.00280000000000001,2024-05-02
Wisconsin,0.3137999999999996,2024-05-02
Wyoming,0.00149999999999998,2024-05-02
National,0.4297000000000016,2024-05-02
Nebraska,0.00979999999999993,2024-05-02
Maine,0.5210999999999997,2024-05-02
Alabama,0.00850000000000016,2024-05-03
Alaska,0.0727999999999999,2024-05-03
Arizona,0.2884000000000001,2024-05-03
Arkansas,0.00759999999999996,2024-05-03
California,0.9708,2024-05-03
Colorado,0.6826999999999999,2024-05-03
Connecticut,0.8673999999999981,2024-05-03
Delaware,0.8294000000000002,2024-05-03
District of Columbia,0.9936,2024-05-03
Florida,0.2330999999999998,2024-05-03
Georgia,0.2823000000000004,2024-05-03
Hawaii,0.9753,2024-05-03
Idaho,0.0050000000000001,2024-05-03
Illinois,0.8391000000000001,2024-05-03
Indiana,0.03469999999999976,2024-05-03
Iowa,0.10930000000000004,2024-05-03
Kansas,0.03670000000000015,2024-05-03
Kentucky,0.00840000000000002,2024-05-03
Louisiana,0.02530000000000008,2024-05-03
Maine CD-1,0.9007000000000001,2024-05-03
Maine CD-2,0.11529999999999978,2024-05-03
Maryland,0.9779,2024-05-03
Massachusetts,0.9798,2024-05-03
Michigan,0.3747999999999997,2024-05-03
Minnesota,0.4915000000000005,2024-05-03
Mississippi,0.03939999999999988,2024-05-03
Missouri,0.03629999999999984,2024-05-03
Montana,0.03249999999999989,2024-05-03
Nebraska CD-1,0.03570000000000029,2024-05-03
Nebraska CD-2,0.44549999999999934,2024-05-03
Nebraska CD-3,0.00160000000000004,2024-05-03
Nevada,0.38669999999999977,2024-05-03
New Hampshire,0.4964999999999997,2024-05-03
New Jersey,0.7989000000000003,2024-05-03
New Mexico,0.6506000000000011,2024-05-03
New York,0.9223,2024-05-03
North Carolina,0.26450000000000007,2024-05-03
North Dakota,0.00339999999999997,2024-05-03
Ohio,0.12179999999999976,2024-05-03
Oklahoma,0.00329999999999997,2024-05-03
Oregon,0.7827999999999998,2024-05-03
Pennsylvania,0.3334999999999996,2024-05-03
Rhode Island,0.8783000000000002,2024-05-03
South Carolina,0.06510000000000007,2024-05-03
South Dakota,0.00850000000000003,2024-05-03
Tennessee,0.01390000000000009,2024-05-03
Texas,0.15010000000000004,2024-05-03
Utah,0.01610000000000013,2024-05-03
Vermont,0.9887,2024-05-03
Virginia,0.6102999999999997,2024-05-03
Washington,0.8696000000000002,2024-05-03
West Virginia,0.00189999999999998,2024-05-03
Wisconsin,0.31969999999999976,2024-05-03
Wyoming,0.00129999999999998,2024-05-03
National,0.43069999999999986,2024-05-03
Nebraska,0.00960000000000003,2024-05-03
Maine,0.5209000000000003,2024-05-03
Alabama,0.00930000000000005,2024-05-04
Alaska,0.07640000000000036,2024-05-04
