candidate,state,e_day_mu,e_day_sigma,run_date
Biden,Alabama,-0.6789932793630836,0.2220996005926332,2024-05-01
Harris,Alabama,-0.8059943249755909,0.23497978223256633,2024-05-01
Biden,Alaska,-0.3682630499863741,0.20629894048050323,2024-05-01
Harris,Alaska,-0.4804744296278371,0.21125193051726177,2024-05-01
Biden,Arizona,-0.1307397937338903,0.19686698174480088,2024-05-01
Harris,Arizona,-0.23763556970213728,0.2038688298725397,2024-05-01
Biden,Arkansas,-0.7271043047167554,0.22402612628365873,2024-05-01
Harris,Arkansas,-0.8518455137120927,0.23801231881594492,2024-05-01
Biden,California,0.5069170192767334,0.2102483710829476,2024-05-01
Harris,California,0.3973836910199856,0.2076218287723169,2024-05-01
Biden,Colorado,0.11864368349534413,0.19781961566119363,2024-05-01
Harris,Colorado,0.01757402936430228,0.1974940748542503,2024-05-01
Biden,Connecticut,0.2694581217007306,0.19808596204721896,2024-05-01
Harris,Connecticut,0.1579118315325189,0.19781658627042495,2024-05-01
Biden,Delaware,0.23950982014871297,0.19993892002449712,2024-05-01
Harris,Delaware,0.133708006867334,0.1983142449033631,2024-05-01
Biden,District of Columbia,2.5747540670507805,0.8002288607546018,2024-05-01
Harris,District of Columbia,2.2464735047986735,0.6660765106181713,2024-05-01
Biden,Florida,-0.17593883810435842,0.20010423166315935,2024-05-01
Harris,Florida,-0.28373707477716625,0.20307368375118032,2024-05-01
Biden,Georgia,-0.13818816094655378,0.19797249714085116,2024-05-01
Harris,Georgia,-0.2453673849311208,0.1998634061054617,2024-05-01
Biden,Hawaii,0.5322640327672773,0.21504715276634745,2024-05-01
Harris,Hawaii,0.4189996904164648,0.2087456284434608,2024-05-01
Biden,Idaho,-0.8338339442185279,0.23830605719610348,2024-05-01
Harris,Idaho,-0.9667635431082808,0.250140148063922,2024-05-01
Biden,Illinois,0.2396756378171942,0.19964587141015283,2024-05-01
Harris,Illinois,0.13176587642510212,0.1974977558954641,2024-05-01
Biden,Indiana,-0.47710631120786967,0.20454102092286372,2024-05-01
Harris,Indiana,-0.5902206295250066,0.21611052420579072,2024-05-01
Biden,Iowa,-0.29982606370440495,0.19697917972957732,2024-05-01
Harris,Iowa,-0.411551163437502,0.20535935865996607,2024-05-01
Biden,Kansas,-0.47137784744502353,0.20956463440352804,2024-05-01
Harris,Kansas,-0.5836462479679692,0.21665646878633676,2024-05-01
Biden,Kentucky,-0.7006443228282556,0.22127132517338605,2024-05-01
Harris,Kentucky,-0.8315352437872698,0.23083478245812353,2024-05-01
Biden,Louisiana,-0.5182048350220709,0.21106289739278863,2024-05-01
Harris,Louisiana,-0.6332893986137109,0.21824102968133885,2024-05-01
Biden,Maine,0.03994331421529299,0.19489236994850564,2024-05-01
Harris,Maine,-0.06963784686239716,0.20021412425222165,2024-05-01
Biden,Maine 1,0.32752758468511195,0.20203734412290977,2024-05-01
Harris,Maine 1,0.22167196676545697,0.200055409970516,2024-05-01
Biden,Maine 2,-0.28671123194570625,0.1996787503353736,2024-05-01
Harris,Maine 2,-0.3989101042943804,0.20556559638462216,2024-05-01
Biden,Maryland,0.5589564190524522,0.21552412757202435,2024-05-01
Harris,Maryland,0.4441493773895755,0.2092951933418952,2024-05-01
Biden,Massachusetts,0.5664975884345268,0.21506564261784977,2024-05-01
Harris,Massachusetts,0.45004437353374416,0.21052641721812945,2024-05-01
Biden,Michigan,-0.07660196164470244,0.19550766817137044,2024-05-01
Harris,Michigan,-0.1825015635665375,0.19425436266364607,2024-05-01
Biden,Minnesota,0.00329485281503138,0.19614464527475772,2024-05-01
Harris,Minnesota,-0.10328742658782084,0.1983916655628331,2024-05-01
Biden,Mississippi,-0.47555013112945943,0.2074399618681069,2024-05-01
Harris,Mississippi,-0.5893665689645301,0.2159718384658349,2024-05-01
Biden,Missouri,-0.4657572064769145,0.2102678517734183,2024-05-01
Harris,Missouri,-0.5764295215863188,0.21590281350135176,2024-05-01
Biden,Montana,-0.4930212091497801,0.2094107706238306,2024-05-01
Harris,Montana,-0.6099608192370457,0.22148067367539268,2024-05-01
Biden,Nebraska,-0.5647195722348867,0.21289179001947509,2024-05-01
Harris,Nebraska,-0.6847353424850088,0.22213602385558257,2024-05-01
Biden,Nebraska 1,-0.47483171484697895,0.20887909412569927,2024-05-01
Harris,Nebraska 1,-0.5904006162062343,0.21601832823343475,2024-05-01
Biden,Nebraska 2,-0.02900666139380513,0.19422484711096655,2024-05-01
Harris,Nebraska 2,-0.13757432838162847,0.19571397461485016,2024-05-01
Biden,Nebraska 3,-1.4526510279859222,0.3435843171755682,2024-05-01
Harris,Nebraska 3,-1.6506523234776185,0.41425891319450053,2024-05-01
Biden,Nevada,-0.06360908714199455,0.19739123549739,2024-05-01
